ID_BIKEST,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,CAPACITY,LONGITUDE,LATITUDE
105,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE SERRANO,46,24,-3.6874745,40.4270684
106a,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE SERRANO,32,18,-3.6878868,40.4248642
106b,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE SERRANO,34,18,-3.6878604,40.4250085
107,4,Salamanca,http://www.wikidata.org/entity/Q1773521,41,Recoletos,http://www.wikidata.org/entity/Q3814551,CALLE DE SERRANO,8,24,-3.6884243,40.4215952
108,4,Salamanca,http://www.wikidata.org/entity/Q1773521,42,Goya,http://www.wikidata.org/entity/Q3814578,CALLE DE LAS MARTIRES CONCEPCIONISTAS,2,27,-3.670653,40.4274425
109,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,CALLE DE JOSE ORTEGA Y GASSET,32,24,-3.6815253,40.4301281
110,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,91,Casa de Campo,http://www.wikidata.org/entity/Q16302441,PASEO DE MORET,S/N,24,-3.7201316,40.4347654
111a,7,Chamberí,http://www.wikidata.org/entity/Q1763370,71,Gaztambide,http://www.wikidata.org/entity/Q10288587,CALLE DEL ARCIPRESTE DE HITA,8,24,-3.7174896,40.4335742
111b,7,Chamberí,http://www.wikidata.org/entity/Q1763370,71,Gaztambide,http://www.wikidata.org/entity/Q10288587,CALLE DEL ARCIPRESTE DE HITA,12,24,-3.7177783,40.433982
112,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,PASEO DE MORET,11,24,-3.7248727,40.4326267
113,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,91,Casa de Campo,http://www.wikidata.org/entity/Q16302441,PASEO DEL PINTOR ROSALES,38,24,-3.7207145,40.4277472
114,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,CALLE DE QUINTANA,13,24,-3.7174151,40.4278211
115,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,PLAZA DEL MARQUES DE CERRALBO,S/N,24,-3.7169626,40.4253802
116a,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,PLAZA DE ESPAÑA,S/N,24,-3.7117588,40.4240632
116b,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,PLAZA DE ESPAÑA,S/N,24,-3.7118457,40.4241889
117,9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874,CALLE DE ALTAMIRANO,24,24,-3.7189152,40.4309046
118,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,26,Palos de la Frontera,http://www.wikidata.org/entity/Q521009,CALLE DE JUAN MARTIN EL EMPECINADO,16,24,-3.688135,40.4007959
119,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,27,Atocha,http://www.wikidata.org/entity/Q3814594,CALLE DE MENDEZ ALVARO,7,24,-3.6865777,40.4014567
120,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,26,Palos de la Frontera,http://www.wikidata.org/entity/Q521009,CALLE DE PALOS DE LA FRONTERA,27,24,-3.6947791,40.4030362
121,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,26,Palos de la Frontera,http://www.wikidata.org/entity/Q521009,PASEO DE SANTA MARIA DE LA CABEZA,58,24,-3.6986046,40.4018356
122,7,Chamberí,http://www.wikidata.org/entity/Q1763370,74,Almagro,http://www.wikidata.org/entity/Q10954432,CALLE DE SANTA ENGRACIA,16,24,-3.6962626,40.429524
123,7,Chamberí,http://www.wikidata.org/entity/Q1763370,71,Gaztambide,http://www.wikidata.org/entity/Q10288587,CALLE DE GUZMAN EL BUENO,2,24,-3.7134685,40.4306386
124,7,Chamberí,http://www.wikidata.org/entity/Q1763370,73,Trafalgar,http://www.wikidata.org/entity/Q10384027,CALLE DE MANUEL SILVELA,18,24,-3.6993182,40.4308173
125,7,Chamberí,http://www.wikidata.org/entity/Q1763370,74,Almagro,http://www.wikidata.org/entity/Q10954432,CALLE DE FERNANDEZ DE LA HOZ,29,24,-3.6948316,40.4353128
126,7,Chamberí,http://www.wikidata.org/entity/Q1763370,73,Trafalgar,http://www.wikidata.org/entity/Q10384027,CALLE DEL GENERAL ALVAREZ DE CASTRO,4,24,-3.7017424,40.4345672
127,7,Chamberí,http://www.wikidata.org/entity/Q1763370,72,Arapiles,http://www.wikidata.org/entity/Q10856744,CALLE DE FERNANDO EL CATOLICO,19,24,-3.7083987,40.4339055
128,7,Chamberí,http://www.wikidata.org/entity/Q1763370,71,Gaztambide,http://www.wikidata.org/entity/Q10288587,CALLE DE CEA BERMUDEZ,59,27,-3.7155506,40.4390329
