ID,HOOD_ID,STREET,CAPACITY,LONGITUDE,LATITUDE
68,35,CALLE DE ESPALTER,21,-3.6911649,40.412781
69,35,CALLE DE ALFONSO XII,27,-3.6888669,40.4100609
70,35,AVENIDA DE MENENDEZ PELAYO,24,-3.6777994,40.4152203
71,36,CALLE DEL DOCE DE OCTUBRE,24,-3.674021,40.4160054
72,36,CALLE DEL DOCTOR ESQUERDO,24,-3.669623,40.415721
73,33,PLAZA DE LOS ASTROS,24,-3.669099,40.411463
74,35,AVENIDA DE MENENDEZ PELAYO,24,-3.6765768,40.4117601
75,35,AVENIDA DE MENENDEZ PELAYO,24,-3.6784149,40.4083387
76,36,AVENIDA DEL MEDITERRANEO,24,-3.6751544,40.4072851
77,31,PLAZA DEL CONDE DE CASAL,22,-3.6707742,40.4063347
78,32,CALLE DEL CERRO DE LA PLATA,24,-3.6745783,40.4005704
79,31,AVENIDA DE MENENDEZ PELAYO,24,-3.6805524,40.4050482
80,27,AVENIDA DE LA CIUDAD DE BARCELONA,51,-3.6904816,40.4074122
81,35,CALLE DE CLAUDIO MOYANO,24,-3.6919663,40.4095758
82,33,CALLE DE LA LIRA,24,-3.669683,40.4084793
83,36,CALLE DE PIO BAROJA,24,-3.6745339,40.4132589
84,32,CALLE DEL DOCTOR ESQUERDO,24,-3.6726923,40.4033695
85,35,AVENIDA DE MENENDEZ PELAYO,27,-3.6799299,40.4211415
86,13,PASEO DEL PRADO,21,-3.6933298,40.4185779
87,41,CALLE DE AYALA,24,-3.6835631,40.4276717
88,46,CALLE DE VELAZQUEZ,24,-3.6837471,40.4312077
89,42,CALLE DE AYALA,24,-3.6751716,40.4272628
90,41,CALLE DE GOYA,30,-3.6837297,40.4250878
91,42,CALLE DE HERMOSILLA,24,-3.6788203,40.4261113
92,41,CALLE DE CLAUDIO COELLO,24,-3.6864821,40.4262237
93,41,CALLE DE GOYA,24,-3.6894124,40.4256984
94,41,PASEO DE RECOLETOS,21,-3.6907044,40.4233686
95,41,CALLE DE CLAUDIO COELLO,24,-3.6869914,40.4226634
96,41,CALLE DE ALCALA,27,-3.6820471,40.4220516
97,42,AVENIDA DE MENENDEZ PELAYO,27,-3.6801515,40.4224846
98,42,AVENIDA DE FELIPE II,24,-3.6754079,40.4241911
99,42,CALLE DE ALCANTARA,24,-3.6739638,40.4261048
100,42,CALLE DE GOYA,24,-3.6738777,40.4247843
101,42,CALLE DE JORGE JUAN,24,-3.6694246,40.4231223
102,41,CALLE DE ALCALA,24,-3.6840806,40.4211552
103,46,CALLE DE JOSE ORTEGA Y GASSET,24,-3.6865351,40.4303733
104,41,PASEO DE LA CASTELLANA,21,-3.6895792,40.4267658
105,41,CALLE DE SERRANO,24,-3.6874745,40.4270684
106,41,CALLE DE SERRANO,36,-3.6878868,40.4248642
107,41,CALLE DE SERRANO,24,-3.6884243,40.4215952
108,42,CALLE DE LAS MARTIRES CONCEPCIONISTAS,27,-3.670653,40.4274425
109,46,CALLE DE JOSE ORTEGA Y GASSET,24,-3.6815253,40.4301281
110,91,PASEO DE MORET,24,-3.7201316,40.4347654
111,71,CALLE DEL ARCIPRESTE DE HITA,48,-3.7174896,40.4335742
112,92,PASEO DE MORET,24,-3.7248727,40.4326267
113,91,PASEO DEL PINTOR ROSALES,24,-3.7207145,40.4277472
114,92,CALLE DE QUINTANA,24,-3.7174151,40.4278211
115,92,PLAZA DEL MARQUES DE CERRALBO,24,-3.7169626,40.4253802
116,92,PLAZA DE ESPAÑA,48,-3.7117588,40.4240632
117,92,CALLE DE ALTAMIRANO,24,-3.7189152,40.4309046
118,26,CALLE DE JUAN MARTIN EL EMPECINADO,24,-3.688135,40.4007959
119,27,CALLE DE MENDEZ ALVARO,24,-3.6865777,40.4014567
120,26,CALLE DE PALOS DE LA FRONTERA,24,-3.6947791,40.4030362
121,26,PASEO DE SANTA MARIA DE LA CABEZA,24,-3.6986046,40.4018356
122,74,CALLE DE SANTA ENGRACIA,24,-3.6962626,40.429524
123,71,CALLE DE GUZMAN EL BUENO,24,-3.7134685,40.4306386
124,73,CALLE DE MANUEL SILVELA,24,-3.6993182,40.4308173
125,74,CALLE DE FERNANDEZ DE LA HOZ,24,-3.6948316,40.4353128
126,73,CALLE DEL GENERAL ALVAREZ DE CASTRO,24,-3.7017424,40.4345672
127,72,CALLE DE FERNANDO EL CATOLICO,24,-3.7083987,40.4339055
128,71,CALLE DE CEA BERMUDEZ,27,-3.7155506,40.4390329
129,75,CALLE DE JOSE ABASCAL,24,-3.6982818,40.4384684
130,75,CALLE DE SANTA ENGRACIA,20,-3.7017071,40.4417195
131,75,CALLE DE BRAVO MURILLO,24,-3.704022,40.4417543
132,75,CALLE DE SANTA ENGRACIA,24,-3.7035911,40.4463889
